year,population,gdp,primary_energy_consumption,oil_co2,coal_co2,cement_co2,temperature_change_from_ghg,co2
1950,7776182,9421400064,7.791,0.063,0.021,0,0.001,0.084
1951,7879343,9692279808,7.791,0.066,0.026,0,0.001,0.092
1952,7987783,10017325056,7.791,0.06,0.032,0,0.001,0.092
1953,8096703,10630519808,7.791,0.068,0.038,0,0.001,0.106
1954,8207953,10866360320,7.791,0.064,0.043,0,0.001,0.106
1955,8326981,11078185984,7.791,0.092,0.062,0,0.001,0.154
1956,8454302,11581236224,7.791,0.121,0.062,0,0.001,0.183
1957,8588340,11578973184,7.791,0.216,0.077,0,0.001,0.293
1958,8723412,12238841856,7.791,0.238,0.092,0,0.001,0.33
1959,8869271,12579874816,7.791,0.256,0.11,0.018,0.001,0.385
1960,9035048,13033253888,7.791,0.269,0.127,0.018,0.001,0.414
1961,9214082,13146287104,7.791,0.293,0.176,0.022,0.001,0.491
1962,9404411,13367633920,7.791,0.363,0.297,0.029,0.001,0.689
1963,9604491,13630298112,7.791,0.392,0.264,0.051,0.001,0.707
1964,9814318,13870503936,7.791,0.476,0.3,0.062,0.001,0.839
1965,10036003,14187419648,7.791,0.542,0.381,0.084,0.001,1.007
1966,10266397,14325264384,7.791,0.575,0.429,0.087,0.001,1.091
1967,10505961,14734025728,7.791,0.557,0.399,0.065,0.001,1.282
1968,10756924,15254250496,7.791,0.497,0.332,0.047,0.001,1.223
1969,11017417,15493193728,7.791,0.528,0.363,0.051,0.001,0.941
1970,11290135,15812232192,7.791,0.672,0.437,0.047,0.001,1.67
1971,11567672,15770513408,7.791,0.747,0.359,0.043,0.001,1.894
1972,11853697,13170552832,7.791,0.627,0.191,0.046,0.001,1.53
1973,12158000,13568630784,7.791,0.702,0.311,0.067,0.001,1.635
1974,12469127,14309107712,7.791,0.771,0.305,0.07,0.001,1.913
1975,12773967,15177767936,7.791,0.874,0.399,0.069,0.001,2.121
1976,13059861,16023605248,7.791,0.883,0.425,0.079,0.001,1.981
1977,13340758,15207360512,7.791,0.975,0.451,0.065,0.001,2.384
1978,13611445,16337829888,7.791,0.936,0.576,0.058,0.001,2.153
1979,13655572,15913788416,7.791,1.165,0.352,0.064,0.001,2.233
1980,13169312,15329836032,7.791,0.925,0.316,0.023,0.001,1.756
1981,11937587,15645343744,8.777,1.015,0.333,0.033,0.001,1.978
1982,10991382,15980409856,9.348,0.993,0.385,0.039,0.001,2.095
1983,10917986,16755333120,11.436,1.22,0.385,0.006,0.001,2.52
1984,11190220,17072152576,11.489,1.134,0.393,0.048,0.001,2.822
1985,11426855,17108480000,11.217,1.548,0.4,0.032,0.001,3.501
1986,11420074,17641345024,11.462,1.14,0.425,0.038,0.001,3.134
1987,11387824,15810816000,18.483,2.013,0.443,0.043,0.001,3.114
1988,11523299,14499068928,32.596,1.821,0.366,0.043,0.001,2.857
1989,11874088,13489497088,32.052,1.865,0.337,0.043,0.001,2.765
1990,12045664,13065984000,31.746,1.271,0.278,0.046,0.001,2.024
1991,12238879,12047362048,13.903,1.204,0.25,0.046,0.001,1.914
1992,13278982,12677539840,9.168,1.03,0.022,0.046,0.001,1.482
1993,14943174,9834582016,9.105,1.048,0.018,0.047,0.001,1.487
1994,16250799,7919856640,8.816,1.032,0.015,0.047,0.001,1.454
1995,17065836,12307525632,7.429,1.011,0.015,0.047,0.001,1.417
1996,17763265,12070125568,7.286,0.986,0.007,0.047,0.001,1.37
1997,18452100,11850753024,6.938,0.949,0.004,0.047,0.001,1.304
1998,19159996,11692171264,6.752,0.942,0.004,0.047,0.001,1.279
1999,19887791,11517316096,6.749,0.777,0.004,0.047,0.001,1.092
2000,20130334,11283793920,5.914,0.788,0.004,0.01,0.001,1.047
2001,20284303,11021273088,4.664,0.762,0.07,0.007,0.001,1.069
2002,21378123,18804871168,4.428,0.727,0.055,0.011,0.001,1.341
2003,22733054,21074343936,5.208,0.992,0.092,0.01,0.001,1.56
2004,23560656,22332569600,4.81,0.909,0.092,0.01,0.001,1.237
2005,24404574,25397686272,6.153,1.447,0.106,0.006,0.001,1.89
2006,25424100,28704399360,7.745,1.657,0.161,0.012,0.001,2.159
2007,25909852,34507530240,9.177,1.733,0.747,0.012,0.001,2.8
2008,26482629,36561043456,16.063,2.864,1.078,0.015,0.001,4.254
2009,27466101,44358721536,26.702,4.594,1.514,0.013,0.001,6.392
2010,28284088,47399424000,33.345,5.833,2.246,0.015,0.001,8.365
2011,29347709,53326336000,42.005,7.335,4.181,0.015,0.001,11.838
2012,30560036,59166900224,40.341,6.573,3.125,0.029,0.001,10.035
2013,31622708,62993698816,33.459,5.593,3.303,0.036,0.001,9.229
2014,32792527,64346107904,28.417,5.165,3.621,0.029,0.001,9.086
2015,33831765,62783393792,32.744,6.625,2.722,0.041,0.001,9.67
2016,34700614,64372215808,29.884,5.794,2.718,0.076,0.001,8.906
2017,35688942,65169281024,29.56,6.075,3.257,0.045,0.001,9.677
2018,36743040,65996738560,33.908,6.619,3.633,0.057,0.001,10.602
2019,37856126,73085706240,30.314,6.841,3.701,0.038,0.001,10.825
2020,39068978,71417708544,27.393,7.275,4.116,0.061,0.001,11.606
2021,40000411,56638849024,27.135,6.701,3.397,0.016,0.001,10.272
2022,40578846,53303472128,27.135,6.862,3.531,0.016,0.001,10.558
2023,41454762,53303472128,27.135,7.011,3.843,0.016,0.001,11.02
1950,1247854,1958540928,47.765,0.246,0.043,0.007,0,0.297
1951,1276364,2089362304,47.765,0.311,0.073,0.007,0,0.403
1952,1308369,2138255872,47.765,0.279,0.076,0.007,0,0.374
1953,1343582,2282159616,47.765,0.275,0.114,0.007,0,0.414
1954,1381087,2415072768,47.765,0.308,0.158,0.007,0,0.502
1955,1418855,2620052736,47.765,0.385,0.22,0.022,0,0.663
1956,1456823,2728373248,47.765,0.509,0.249,0.033,0,0.839
1957,1497952,2986969600,47.765,1.136,0.275,0.036,0,1.506
1958,1543981,3216275456,47.765,0.806,0.289,0.04,0,1.201
1959,1595023,3458495232,47.765,0.993,0.337,0.036,0,1.443
1960,1649393,3754262784,47.765,1.576,0.326,0.036,0,2.022
1961,1698800,3909912832,47.765,1.814,0.322,0.058,0,2.279
1962,1743738,4163081984,47.765,1.957,0.363,0.058,0,2.462
1963,1791289,4433270272,47.765,1.649,0.282,0.065,0,2.081
1964,1841445,4719963648,47.765,1.535,0.333,0.062,0,2.015
1965,1894318,5029350912,47.765,1.62,0.395,0.073,0,2.172
1966,1950047,5354307584,47.765,1.901,0.477,0.069,0,2.55
1967,2008523,5706156544,47.765,1.916,0.524,0.109,0,2.677
1968,2068849,6073281536,47.765,2.184,0.59,0.149,0,3.069
1969,2126885,6468810240,47.765,2.22,0.689,0.164,0,3.241
1970,2181227,6888218624,47.765,2.483,0.891,0.178,0,3.739
1971,2234994,7337364480,47.765,2.939,0.989,0.178,0,4.348
1972,2289267,7811524608,47.765,4.082,1.081,0.197,0,5.638
1973,2344108,8317288448,47.765,3.495,1.169,0.256,0,5.286
