year,population,gdp,cement_co2_per_capita,co2,co2_growth_abs,co2_including_luc_growth_abs,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2_per_capita,energy_per_capita,flaring_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2_per_capita,methane_per_capita,nitrous_oxide_per_capita,oil_co2_per_capita,primary_energy_consumption,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf
1950,7776182.0,9421400064.0,0.0,0.084,0.07,1.066,0.941,0.777,0.557,0.011,0.009,0.225,0.003,623.929,0.026,0.187,2.501,0.93,1.042,0.288,0.008,7.791,0.0,0.001,0.0,19.447,1.453
1951,7879343.0,9692279808.0,0.0,0.092,0.007,0.948,1.049,0.853,0.557,0.012,0.009,0.225,0.003,623.929,0.026,0.187,2.596,1.037,1.045,0.292,0.008,7.791,0.0,0.001,0.0,20.458,1.473
1952,7987783.0,10017325056.0,0.0,0.092,0.0,0.928,1.151,0.918,0.557,0.011,0.009,0.225,0.004,623.929,0.026,0.186,2.674,1.139,1.048,0.297,0.007,7.791,0.0,0.001,0.0,21.356,1.484
1953,8096703.0,10630519808.0,0.0,0.106,0.015,1.077,1.268,0.966,0.557,0.013,0.01,0.225,0.005,623.929,0.026,0.187,2.762,1.255,1.053,0.303,0.008,7.791,0.0,0.001,0.0,22.361,1.517
1954,8207953.0,10866360320.0,0.0,0.106,0.0,0.869,1.357,1.025,0.557,0.013,0.01,0.225,0.005,623.929,0.026,0.187,2.833,1.344,1.059,0.31,0.008,7.791,0.0,0.001,0.0,23.256,1.534
1955,8326981.0,11078185984.0,0.0,0.154,0.048,1.11,1.471,1.106,0.557,0.018,0.014,0.225,0.007,623.929,0.026,0.196,2.933,1.452,1.068,0.316,0.011,7.791,0.0,0.001,0.0,24.423,1.633
1956,8454302.0,11581236224.0,0.0,0.183,0.029,0.945,1.56,1.139,0.557,0.022,0.016,0.225,0.007,623.929,0.026,0.203,3.016,1.539,1.078,0.321,0.014,7.791,0.0,0.001,0.0,25.502,1.712
1957,8588340.0,11578973184.0,0.0,0.293,0.11,1.06,1.66,1.231,0.557,0.034,0.025,0.225,0.009,623.929,0.026,0.228,3.114,1.625,1.096,0.324,0.025,7.791,0.0,0.001,0.0,26.746,1.956
1958,8723412.0,12238841856.0,0.0,0.33,0.037,1.061,1.755,1.251,0.557,0.038,0.027,0.225,0.011,623.929,0.026,0.234,3.212,1.718,1.106,0.327,0.027,7.791,0.0,0.001,0.0,28.019,2.044
1959,8869271.0,12579874816.0,0.002,0.385,0.055,0.704,1.806,1.273,0.557,0.043,0.031,0.225,0.012,623.929,0.026,0.242,3.276,1.763,1.115,0.327,0.029,7.791,0.0,0.001,0.0,29.052,2.149
1960,9035048.0,13033253888.0,0.002,0.414,0.029,1.84,1.976,1.37,0.557,0.046,0.032,0.225,0.014,623.929,0.026,0.246,3.187,1.931,1.122,0.325,0.03,7.791,0.0,0.001,0.0,28.796,2.225
1961,9214082.0,13146287104.0,0.002,0.491,0.077,-2.571,1.659,1.163,0.557,0.053,0.037,0.225,0.019,623.929,0.026,0.257,2.844,1.606,1.043,0.318,0.032,7.791,0.0,0.001,0.0,26.207,2.37
1962,9404411.0,13367633920.0,0.003,0.689,0.198,-1.225,1.495,1.052,0.557,0.073,0.052,0.225,0.032,623.929,0.026,0.289,2.73,1.422,1.053,0.308,0.039,7.791,0.0,0.001,0.0,25.671,2.722
1963,9604491.0,13630298112.0,0.005,0.707,0.018,-0.562,1.406,0.99,0.557,0.074,0.052,0.225,0.027,623.929,0.026,0.29,2.681,1.332,1.067,0.307,0.041,7.791,0.0,0.001,0.0,25.747,2.79
1964,9814318.0,13870503936.0,0.006,0.839,0.132,-2.618,1.109,0.785,0.557,0.085,0.06,0.225,0.031,623.929,0.026,0.312,2.509,1.023,1.073,0.307,0.049,7.791,0.0,0.001,0.0,24.625,3.065
1965,10036003.0,14187419648.0,0.008,1.007,0.168,0.507,1.135,0.803,0.557,0.1,0.071,0.225,0.038,623.929,0.026,0.336,2.528,1.034,1.081,0.308,0.054,7.791,0.0,0.001,0.0,25.37,3.372
1966,10266397.0,14325264384.0,0.008,1.091,0.084,-1.138,0.998,0.716,0.557,0.106,0.076,0.225,0.042,623.929,0.026,0.345,2.448,0.892,1.098,0.308,0.056,7.791,0.0,0.001,0.0,25.136,3.544
1967,10505961.0,14734025728.0,0.006,1.282,0.191,-1.563,0.827,0.59,0.557,0.122,0.087,0.225,0.038,623.929,0.026,0.386,2.341,0.705,1.106,0.309,0.053,7.791,0.0,0.001,0.0,24.593,4.055
1968,10756924.0,15254250496.0,0.004,1.223,-0.058,-0.554,0.756,0.533,0.557,0.114,0.08,0.225,0.031,623.929,0.026,0.376,2.277,0.642,1.107,0.315,0.046,7.791,0.0,0.001,0.0,24.491,4.049
1969,11017417.0,15493193728.0,0.005,0.941,-0.282,-0.908,0.656,0.466,0.557,0.085,0.061,0.225,0.033,623.929,0.026,0.31,2.106,0.57,1.042,0.307,0.048,7.791,0.0,0.001,0.0,23.202,3.417
1970,11290135.0,15812232192.0,0.004,1.67,0.729,0.928,0.722,0.516,0.557,0.148,0.106,0.225,0.039,623.929,0.026,0.377,2.136,0.574,1.035,0.301,0.06,7.791,0.0,0.001,0.0,24.12,4.255
1971,11567672.0,15770513408.0,0.004,1.894,0.223,-0.533,0.659,0.483,0.557,0.164,0.12,0.225,0.031,623.929,0.026,0.392,2.041,0.495,1.009,0.291,0.065,7.791,0.0,0.001,0.0,23.612,4.532
