observation_date,MKTGDPTHA646NWDB
2002-01-01,134300904400.02200
2003-01-01,152280615245.88699
2004-01-01,172895685154.65799
2005-01-01,189318408468.59500
2006-01-01,221758296021.62100
2007-01-01,262942621455.05301
2008-01-01,291382982430.95099
2009-01-01,281710630187.31897
2010-01-01,341104766329.16998
2011-01-01,370818739623.62201
2012-01-01,397558325278.57904
2013-01-01,420333654592.54706
2014-01-01,407339040197.65106
2015-01-01,401296238228.08398
2016-01-01,413366349747.50800
2017-01-01,456356813536.76398
2018-01-01,506754208404.48499
2019-01-01,543976691793.88599
2020-01-01,500461898480.24597
2021-01-01,506256494297.34003
2022-01-01,495645210972.75104
2023-01-01,514968699239.00494
