observation_date,MKTGDPTHA646NWDB
1960-01-01,2760750860.62197
1961-01-01,3034037810.96795
1962-01-01,3308912796.93487
1963-01-01,3540403456.55305
1964-01-01,3889129942.30769
1965-01-01,4388937649.03846
1966-01-01,5279230817.30769
1967-01-01,5638461442.30769
1968-01-01,6081009427.88461
1969-01-01,6695336567.30769
1970-01-01,7086538437.50000
1971-01-01,7375000024.03846
1972-01-01,8177873151.04224
1973-01-01,10838587357.74660
1974-01-01,13702998512.44920
1975-01-01,14882770593.97960
1976-01-01,16985208648.21120
1977-01-01,19779312261.31550
1978-01-01,24006566636.68550
1979-01-01,27371650824.50920
1980-01-01,32353514988.72870
1981-01-01,34846039193.61310
1982-01-01,36589772403.75660
1983-01-01,40042798388.49510
1984-01-01,41797647775.62380
1985-01-01,38900711332.53730
1986-01-01,43096773980.85690
1987-01-01,50535446554.87690
1988-01-01,61667253471.37360
1989-01-01,72250748099.97620
1990-01-01,85343190719.01070
1991-01-01,98234714971.06120
1992-01-01,111452746517.65500
1993-01-01,128889262951.15700
1994-01-01,146683778959.10101
1995-01-01,169278916592.84299
1996-01-01,183035237429.28101
1997-01-01,150180456565.72800
1998-01-01,113675596787.73801
1999-01-01,126669211778.94000
2000-01-01,126392224253.79401
2001-01-01,120296476180.40199
2002-01-01,134300904400.02200
2003-01-01,152280615245.88699
2004-01-01,172895685154.65799
2005-01-01,189318408468.59500
2006-01-01,221758296021.62100
2007-01-01,262942621455.05301
2008-01-01,291382982430.95099
2009-01-01,281710630187.31897
2010-01-01,341104766329.16998
2011-01-01,370818739623.62201
2012-01-01,397558325278.57904
2013-01-01,420333654592.54706
2014-01-01,407339040197.65106
2015-01-01,401296238228.08398
2016-01-01,413366349747.50800
2017-01-01,456356813536.76398
2018-01-01,506754208404.48499
2019-01-01,543976691793.88599
2020-01-01,500461898480.24597
2021-01-01,506256494297.34003
2022-01-01,495645210972.75104
2023-01-01,514968699239.00494
