sep=;
country_or_region;year;variable;generation_twh
Thailand;2000;Bioenergy;0.53
Thailand;2000;Clean;6.42
Thailand;2000;Coal;18.2
Thailand;2000;Fossil;89.1
Thailand;2000;Gas;61.09
Thailand;2000;Hydro;5.89
Thailand;2000;Other Fossil;9.81
Thailand;2000;Solar;0
Thailand;2000;Wind;0
Thailand;2000;Wind and solar;0
Thailand;2001;Bioenergy;0.62
Thailand;2001;Clean;6.79
Thailand;2001;Coal;20.3
Thailand;2001;Fossil;94.2
Thailand;2001;Gas;71.23
Thailand;2001;Hydro;6.17
Thailand;2001;Other Fossil;2.67
Thailand;2001;Solar;0
Thailand;2001;Wind;0
Thailand;2001;Wind and solar;0
Thailand;2002;Bioenergy;0.75
Thailand;2002;Clean;8.12
Thailand;2002;Coal;19.29
Thailand;2002;Fossil;100.32
Thailand;2002;Gas;78.91
Thailand;2002;Hydro;7.37
Thailand;2002;Other Fossil;2.12
Thailand;2002;Solar;0
Thailand;2002;Wind;0
Thailand;2002;Wind and solar;0
Thailand;2003;Bioenergy;1.23
Thailand;2003;Clean;8.44
Thailand;2003;Coal;19.3
Thailand;2003;Fossil;107.5
Thailand;2003;Gas;85.69
Thailand;2003;Hydro;7.21
Thailand;2003;Other Fossil;2.51
Thailand;2003;Solar;0
Thailand;2003;Wind;0
Thailand;2003;Wind and solar;0
Thailand;2004;Bioenergy;1.84
Thailand;2004;Clean;7.74
Thailand;2004;Coal;20.4
Thailand;2004;Fossil;116.39
Thailand;2004;Gas;90.29
Thailand;2004;Hydro;5.9
Thailand;2004;Other Fossil;5.7
Thailand;2004;Solar;0
Thailand;2004;Wind;0
Thailand;2004;Wind and solar;0
Thailand;2005;Bioenergy;1.86
Thailand;2005;Clean;7.53
Thailand;2005;Coal;20.61
Thailand;2005;Fossil;122.9
Thailand;2005;Gas;94.47
Thailand;2005;Hydro;5.67
Thailand;2005;Other Fossil;7.82
Thailand;2005;Solar;0
Thailand;2005;Wind;0
Thailand;2005;Wind and solar;0
Thailand;2006;Bioenergy;1.99
Thailand;2006;Clean;9.98
Thailand;2006;Coal;24.47
Thailand;2006;Fossil;126.8
Thailand;2006;Gas;94.44
Thailand;2006;Hydro;7.95
Thailand;2006;Other Fossil;7.89
Thailand;2006;Solar;0.04
Thailand;2006;Wind;0
Thailand;2006;Wind and solar;0.04
